Nombre (AFORE),Estado,latitud,longitud,PEA
SURA,CDMX,19.343877,-99.0317627,52737.32
SURA,CDMX,19.3229075,-99.1338652,52737.32
SURA,CDMX,19.4265808,-99.1699522,52737.32
CITIBANAMEX,CDMX,19.3917859,-99.1632332,52737.32
CITIBANAMEX,CDMX,19.3440012,-99.1617597,52737.32
CITIBANAMEX,CDMX,19.4264685,-99.1378192,52737.32
CITIBANAMEX,CDMX,19.4133709,-99.1344392,52737.32
CITIBANAMEX,CDMX,19.4280099,-99.1487502,52737.32
CITIBANAMEX,CDMX,19.425326,-99.1696401,52737.32
CITIBANAMEX,CDMX,19.4867183,-99.1254242,52737.32
CITIBANAMEX,CDMX,19.3191446,-99.0820778,52737.32
CITIBANAMEX,CDMX,19.387718,-99.0391862,52737.32
CITIBANAMEX,CDMX,19.3982974,-99.1894022,52737.32
XXI-BANORTE,CDMX,19.4663282,-99.1435249,52737.32
XXI-BANORTE,CDMX,19.426753,-99.1618449,52737.32
XXI-BANORTE,CDMX,19.4086421,-99.1531566,52737.32
XXI-BANORTE,CDMX,19.3028975,-99.121826,52737.32
XXI-BANORTE,CDMX,19.3728823,-99.1795624,52737.32
XXI-BANORTE,CDMX,19.4249374,-99.2134442,52737.32
PRINCIPAL,CDMX,19.3948019,-99.1718459,52737.32
AZTECA,CDMX,19.3436473,-99.190653,52737.32
Nuevo CAP,CDMX,19.39416474,-99.14106971,1
INBURSA,Chiapas,16.248615,-92.1413676,61843.64
INBURSA,Chiapas,14.9171511,-92.2512956,61843.64
INBURSA,Chiapas,16.7557944,-93.149929,61843.64
INVERCAP,Chiapas,16.7548432,-93.130685,61843.64
PENSIONISSSTE,Chiapas,14.8993629,-92.2495908,61843.64
PENSIONISSSTE,Chiapas,16.7443033,-92.6342542,61843.64
PENSIONISSSTE,Chiapas,16.7513094,-93.1069386,61843.64
COPPEL,Chiapas,14.8934212,-92.2781495,61843.64
COPPEL,Chiapas,16.7347051,-92.6520436,61843.64
COPPEL,Chiapas,14.9234374,-92.256885,61843.64
COPPEL,Chiapas,16.7569318,-93.1292353,61843.64
COPPEL,Chiapas,16.7543247,-93.1192834,61843.64
COPPEL,Chiapas,16.7527681,-93.117752,61843.64
COPPEL,Chiapas,16.7430931,-93.1040461,61843.64
COPPEL,Chiapas,16.756731,-93.1670839,61843.64
COPPEL,Chiapas,17.5121384,-91.9891492,61843.64
COPPEL,Chiapas,16.7486429,-93.0806781,61843.64
COPPEL,Chiapas,14.9064188,-92.2669547,61843.64
COPPEL,Chiapas,14.9085779,-92.262388,61843.64
COPPEL,Chiapas,16.7536428,-93.1171875,61843.64
COPPEL,Chiapas,16.7427868,-92.640641,61843.64
COPPEL,Chiapas,16.0869461,-93.7612856,61843.64
